,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
49,Shubarkuduk,49.1447,56.4872,22.93,88,99,16.2,KZ,1647000760
50,Qaanaaq,77.484,-69.3632,-9.0,72,25,6.46,GL,1647000760
51,Sagamu,6.8432,3.6478,98.85,38,81,7.34,NG,1647000760
52,The Pas,53.8251,-101.2541,-19.07,96,49,9.08,CA,1647000761
53,Barrow,71.2906,-156.7887,-7.58,77,0,5.75,US,1647000761
54,Mogocha,53.7333,119.7667,8.47,95,96,2.21,RU,1647000761
55,Bandiagara,14.3501,-3.6104,98.55,6,37,10.51,ML,1647000761
56,Klaksvík,62.2266,-6.589,49.12,92,26,28.99,FO,1647000762
57,Nanortalik,60.1432,-45.2371,10.74,73,26,16.8,GL,1647000762
58,Siilinjärvi,63.0833,27.6667,37.42,70,0,6.91,FI,1647000762
59,Vila Franca do Campo,37.7167,-25.4333,63.19,67,100,13.53,PT,1647000762
60,Yellowknife,62.456,-114.3525,-17.45,76,75,4.61,CA,1647000763
61,Sitka,57.0531,-135.33,40.89,81,100,9.22,US,1647000763
62,Airai,-8.9266,125.4092,63.45,95,99,2.55,TL,1647000763
63,Iqaluit,63.7506,-68.5145,-28.41,92,78,6.13,CA,1647000763
64,Pangnirtung,66.1451,-65.7125,-15.99,99,100,2.33,CA,1647000764
65,Roald,62.5833,6.1333,56.32,32,0,9.22,NO,1647000764
66,Manaure,11.7751,-72.4445,78.24,79,43,8.66,CO,1647000765
67,Atuona,-9.8,-139.0333,78.49,78,93,16.49,PF,1647000765
68,San Marcos,33.1434,-117.1661,54.43,80,0,6.91,US,1647000765
69,Loreto,22.2667,-101.9667,45.63,43,5,8.81,MX,1647000765
70,Saint Paul Harbor,57.79,-152.4072,38.71,87,100,8.05,US,1647000766
71,Tiksi,71.6872,128.8694,-7.02,99,100,5.97,RU,1647000766
72,Batagay-Alyta,67.8006,130.4114,-0.9,97,100,2.19,RU,1647000766
73,Forsytheganj,52.6333,29.7333,30.15,43,83,10.71,BY,1647000766
74,Liubar,49.9204,27.7592,30.02,44,1,18.16,UA,1647000767
75,Ucluelet,48.9329,-125.5528,39.09,89,100,8.99,CA,1647000767
76,Impfondo,1.6381,18.0667,72.46,94,100,6.44,CG,1647000767
77,Jumla,29.2747,82.1838,46.4,82,88,2.33,NP,1647000767
78,Superior,46.7208,-92.1041,8.69,63,0,23.02,US,1647000767
79,Ajdabiya,30.7554,20.2263,59.41,43,98,12.48,LY,1647000768
80,Beringovskiy,63.05,179.3167,3.29,88,56,11.95,RU,1647000768
81,Cabo San Lucas,22.8909,-109.9124,63.52,62,4,12.68,MX,1647000768
82,Hilo,19.7297,-155.09,70.61,88,0,6.91,US,1647000769
83,Khlung,12.4547,102.2214,86.11,80,35,4.56,TH,1647000769
84,Lorengau,-2.0226,147.2712,81.57,77,100,5.55,PG,1647000770
85,Abu Samrah,35.3029,37.1841,46.63,53,67,35.79,SY,1647000771
86,Nikolskoye,59.7035,30.7861,33.71,92,100,9.73,RU,1647000771
87,Tvrdošín,49.337,19.556,37.2,51,0,13.0,SK,1647000771
88,Ulaangom,49.9811,92.0667,14.29,94,72,2.71,MN,1647000772
89,Żurrieq,35.8311,14.4742,58.51,58,20,10.36,MT,1647000772
90,Torbay,47.6666,-52.7314,34.57,85,59,10.0,CA,1647000772
91,Suntar,62.1444,117.6319,-10.98,99,90,0.85,RU,1647000772
92,Celestún,20.8667,-90.4,73.74,83,4,11.79,MX,1647000773
93,Bettiah,26.8,84.5,82.99,20,0,7.34,IN,1647000575
94,Matane,48.8286,-67.522,7.29,90,77,1.97,CA,1647000774
95,Brownwood,31.7093,-98.9912,32.0,66,100,13.8,US,1647000774
96,Gombe,10.2897,11.1673,95.27,13,94,8.72,NG,1647000603
97,Kenai,60.5544,-151.2583,34.03,97,100,10.36,US,1647000775
98,Upernavik,72.7868,-56.1549,-9.8,87,100,5.57,GL,1647000775
99,Tayoltita,24.0833,-105.9333,47.7,51,24,4.23,MX,1647000775
100,Constitución,-35.3333,-72.4167,58.35,65,1,3.98,CL,1647000776
101,Juba,4.8517,31.5825,103.78,17,100,7.23,SS,1647000776
102,Paamiut,61.994,-49.6678,-1.21,93,65,14.23,GL,1647000776
103,Zhangye,38.9342,100.4517,49.48,32,47,4.47,CN,1647000776
104,Bubaque,11.2833,-15.8333,77.52,52,82,3.02,GW,1647000777
105,Dunmore East,52.1514,-6.9861,51.24,76,40,10.36,IE,1647000777
106,Hasaki,35.7333,140.8333,52.2,68,57,18.52,JP,1647000777
107,Saint-Pierre,-21.3393,55.4781,85.68,73,4,21.85,RE,1647000778
108,Porlamar,10.958,-63.8491,77.7,83,99,17.81,VE,1647000778
109,Toba,34.4833,136.85,52.09,85,94,7.34,JP,1647000670
110,Thinadhoo,0.5333,72.9333,83.41,65,1,5.23,MV,1647000778
111,Alexandria,31.2156,29.9553,56.37,47,85,21.45,EG,1647000778
112,Pell City,33.5862,-86.2861,53.56,98,100,3.44,US,1647000779
113,Tongliao,43.6125,122.2653,35.96,32,5,2.62,CN,1647000779
114,Concepción del Oro,24.6333,-101.4167,43.86,20,31,4.29,MX,1647000779
115,Abu Kamal,34.4506,40.9171,60.21,32,48,32.32,SY,1647000779
116,Ankang,32.68,109.0172,73.09,49,1,6.85,CN,1647000780
117,Port Hardy,50.6996,-127.4199,39.27,96,100,20.6,CA,1647000780
118,Bandarbeyla,9.4942,50.8122,80.53,63,45,13.58,SO,1647000780
119,North Bend,43.4065,-124.2243,38.86,99,0,6.91,US,1647000780
120,Sisimiut,66.9395,-53.6735,-8.14,89,27,4.5,GL,1647000781
121,Green River,41.5286,-109.4662,5.99,65,4,3.0,US,1647000574
122,Seoul,37.5683,126.9778,51.19,45,41,2.01,KR,1647000571
123,Marzuq,14.4,46.4667,87.48,11,53,14.38,YE,1647000781
124,Tallahassee,30.4383,-84.2807,64.6,97,100,5.75,US,1647000489
125,Mehamn,71.0357,27.8492,37.35,60,40,19.57,NO,1647000782
126,Makakilo City,21.3469,-158.0858,74.28,74,0,9.22,US,1647000782
127,Zyryanka,65.75,150.85,1.58,96,100,9.35,RU,1647000783
128,Santa Marta,11.2408,-74.199,80.89,69,11,7.76,CO,1647000783
129,Codrington,-38.2667,141.9667,55.78,71,68,6.33,AU,1647000783
130,Nemuro,43.3236,145.575,34.07,88,100,13.98,JP,1647000783
131,Sompeta,18.9333,84.6,83.79,49,2,4.97,IN,1647000784
132,Tottori-shi,35.5,134.2333,49.98,69,19,7.27,JP,1647000544
133,Bilma,18.6853,12.9164,84.04,16,38,4.36,NE,1647000784
134,Khatanga,71.9667,102.5,-17.9,97,100,4.61,RU,1647000784
135,Takoradze,4.8845,-1.7554,87.26,67,100,11.43,GH,1647000785
136,Hue,16.4667,107.6,75.31,83,75,6.91,VN,1647000726
137,Kutum,14.2,24.6667,84.0,13,54,16.58,SD,1647000785
138,Ostrovnoy,68.0531,39.5131,34.9,85,85,22.66,RU,1647000786
139,Koshurnikovo,54.1667,93.3,8.73,97,100,2.37,RU,1647000786
140,Leningradskiy,69.3833,178.4167,1.89,78,2,2.71,RU,1647000787
141,Fort Nelson,58.8053,-122.7002,8.89,97,100,1.19,CA,1647000787
142,Vostok,46.4856,135.8833,22.82,96,100,5.26,RU,1647000787
143,Dingle,10.9995,122.6711,78.21,88,85,5.93,PH,1647000787
144,Shitanjing,39.2342,106.3439,55.06,26,85,19.24,CN,1647000788
145,Águilas,37.4063,-1.5829,59.63,68,100,7.56,ES,1647000788
146,Gambēla,8.25,34.5833,102.51,21,92,10.13,ET,1647000788
147,Carutapera,-1.195,-46.02,75.97,93,100,3.67,BR,1647000788
148,Pingdingshan,33.7385,113.3012,71.83,52,50,10.45,CN,1647000789
149,Kurchum,48.5722,83.6542,18.25,93,100,1.63,KZ,1647000789
150,Praia da Vitória,38.7333,-27.0667,59.68,79,100,24.2,PT,1647000789
151,Camacha,33.0833,-16.3333,62.02,72,20,8.05,PT,1647000789
152,São Gabriel da Cachoeira,-0.1303,-67.0892,73.89,97,96,1.41,BR,1647000790
153,Kieta,-6.2167,155.6333,79.43,76,47,2.17,PG,1647000790
154,Tongchuanshi,35.0806,109.0897,64.99,55,52,8.52,CN,1647000790
155,Bilibino,68.0546,166.4372,-5.82,74,4,4.68,RU,1647000790
156,Slonim,53.0867,25.3219,34.59,34,11,5.53,BY,1647000790
157,Freeport,40.6576,-73.5832,42.96,71,0,0.0,US,1647000791
158,Adrar,20.5022,-10.0711,82.08,7,0,20.6,MR,1647000791
159,Bethel,41.3712,-73.414,33.91,87,0,0.0,US,1647000791
160,Balaipungut,1.05,101.2833,76.21,94,88,2.3,ID,1647000792
161,Fortuna,40.5982,-124.1573,38.32,100,0,8.05,US,1647000792
162,Enshi,30.3,109.4833,68.9,71,13,4.12,CN,1647000792
163,Burē,10.7,37.0667,87.46,15,91,3.27,ET,1647000792
164,College,64.8569,-147.8028,10.72,68,40,4.61,US,1647000793
165,Visby,57.6409,18.296,42.06,52,0,14.97,SE,1647000793
166,Ponta do Sol,32.6667,-17.1,69.01,67,97,8.95,PT,1647000793
167,Palimbang,6.2106,124.1894,80.44,87,65,7.0,PH,1647000793
168,Hong Kong,22.2855,114.1577,73.38,77,18,5.99,HK,1647000520
169,Norman Wells,65.282,-126.8329,-14.37,98,100,5.17,CA,1647000794
170,Yilan,24.757,121.753,71.37,99,5,1.7,TW,1647000681
171,Marsala,37.7966,12.4352,59.94,60,94,13.13,IT,1647000795
172,Goderich,43.7501,-81.7165,26.91,94,100,8.25,CA,1647000574
173,Inta,66.0317,60.1659,16.07,67,88,23.2,RU,1647000795
174,Trezzano sul Naviglio,45.4231,9.0664,52.05,53,75,10.36,IT,1647000795
175,Zykovo,55.9519,93.1461,11.14,97,100,2.51,RU,1647000795
176,Acaraú,-2.8856,-40.12,79.54,80,93,4.7,BR,1647000796
177,Moose Factory,51.2585,-80.6094,-11.22,77,20,4.61,CA,1647000796
178,Jiangyou,31.7667,104.7167,72.77,52,96,4.9,CN,1647000797
179,Trabzon Province,40.9167,39.8333,32.09,93,75,20.71,TR,1647000797
180,Provincia di Verona,45.4167,11.0333,56.03,50,20,8.05,IT,1647000798
181,Shingū,33.7333,135.9833,52.05,85,100,6.29,JP,1647000615
182,Arrondissement du Havre,49.5833,0.3333,54.0,66,100,16.11,FR,1647000798
183,Lashio,22.9333,97.75,81.43,26,39,2.82,MM,1647000798
184,Talaya,61.3833,152.75,-4.83,100,95,2.08,RU,1647000799
185,Vestmannaeyjar,63.4427,-20.2734,45.59,76,40,27.63,IS,1647000799
186,Pevek,69.7008,170.3133,-3.71,82,8,4.45,RU,1647000799
187,Matale,7.4721,80.6234,78.48,76,50,1.43,LK,1647000799
188,Xiongzhou,25.1167,114.3,75.11,60,72,1.54,CN,1647000800
189,Provideniya,64.3833,-173.3,14.97,56,0,14.72,RU,1647000800
190,Lavrentiya,65.5833,-171.0,9.63,70,0,12.48,RU,1647000800
191,Newport,51.5877,-2.9984,51.26,88,100,4.0,GB,1647000800
192,Weyburn,49.6668,-103.8511,-17.36,99,88,8.32,CA,1647000800
193,Mīnāb,27.1467,57.0801,85.55,37,99,11.39,IR,1647000801
194,Tura,25.5198,90.2201,75.31,26,26,2.53,IN,1647000801
195,Yangi Marg`ilon,40.4272,71.7189,54.32,76,75,9.22,UZ,1647000801
196,Tiznit Province,29.5833,-9.5,66.92,30,0,9.33,MA,1647000801
197,Nivala,63.9167,24.9667,40.68,91,100,5.73,FI,1647000802
198,Kisi,9.0833,3.85,102.88,24,50,0.87,NG,1647000802
199,Kānkon,15.0167,74.0167,85.5,65,10,9.82,IN,1647000802
200,Belturbet,54.1,-7.45,45.46,96,100,11.12,IE,1647000803
201,Brainerd,46.358,-94.2008,1.69,66,0,11.5,US,1647000803
202,Saltpond,5.2091,-1.0606,86.86,67,81,12.3,GH,1647000570
203,Lompoc,34.6391,-120.4579,55.13,79,0,8.99,US,1647000804
204,Tabou,4.423,-7.3528,84.83,73,100,7.43,CI,1647000804
205,Severo-Kuril'sk,50.6789,156.125,30.31,92,100,8.28,RU,1647000804
206,Anadyr,64.75,177.4833,0.07,74,0,4.03,RU,1647000805
207,Havøysund,70.9963,24.6622,37.63,78,100,22.55,NO,1647000805
208,Fairbanks,64.8378,-147.7164,10.74,68,40,4.61,US,1647000806
209,Paka,4.6374,103.4368,77.81,78,59,9.19,MY,1647000806
210,Dixon,38.4455,-121.8233,50.0,24,0,9.22,US,1647000806
211,Storforshei,66.4043,14.5233,40.78,80,40,6.91,NO,1647000806
212,Saint George,37.1041,-113.5841,30.25,43,0,8.05,US,1647000807
213,Los Llanos de Aridane,28.6585,-17.9182,65.95,75,20,6.91,ES,1647000807
214,Khani,41.9563,42.9566,31.57,99,100,5.82,GE,1647000807
215,Kalāleh,37.3807,55.4916,58.6,77,75,9.22,IR,1647000807
216,Rørvik,64.8621,11.2373,50.11,53,0,6.91,NO,1647000807
217,Zaragoza,41.6561,-0.8773,53.02,86,100,8.05,ES,1647000808
218,Falkenstein,50.4779,12.3713,46.09,30,8,32.01,DE,1647000808
219,Dérac,19.65,-71.8167,73.38,84,3,7.02,HT,1647000809
220,Alugan,12.2188,125.4808,78.91,87,99,8.59,PH,1647000809
221,Rāwah,34.4816,41.9093,60.93,38,50,29.12,IQ,1647000809
222,San Patricio,28.017,-97.5169,64.35,95,100,8.05,US,1647000809
223,Palmer,42.1584,-72.3287,33.51,85,20,0.0,US,1647000810
224,Huéscar,37.811,-2.5412,57.25,49,100,9.93,ES,1647000810
225,Businga,3.3333,20.8833,86.79,53,100,6.35,CD,1647000810
226,Martinsville,36.6915,-79.8725,38.17,97,0,0.0,US,1647000810
227,Port Hawkesbury,45.6169,-61.3485,33.73,92,97,1.99,CA,1647000811
228,Cap Estate,14.0833,-60.95,78.42,74,22,21.18,LC,1647000811
229,Atbasar,51.8,68.3333,12.02,86,100,19.17,KZ,1647000811
230,Sibolga,1.7427,98.7792,79.9,81,64,1.92,ID,1647000811
231,Mayo,38.8876,-76.5119,40.5,97,0,3.44,US,1647000812
232,Yatou,37.15,122.3833,43.68,81,59,6.35,CN,1647000812
233,Fairmont,39.4851,-80.1426,38.93,93,36,2.82,US,1647000812
234,Mrakovo,52.7161,56.6244,17.58,83,100,12.15,RU,1647000812
235,Coos Bay,43.3665,-124.2179,38.93,99,0,6.91,US,1647000812
236,Abu Dhabi,24.4667,54.3667,102.31,11,0,5.75,AE,1647000578
237,Wagar,16.1525,36.2032,96.6,26,88,20.6,SD,1647000813
238,Lovington,32.944,-103.3485,19.33,63,74,16.58,US,1647000813
239,West Wendover,40.7391,-114.0733,25.56,48,15,4.41,US,1647000813
240,Puerto Escondido,15.85,-97.0667,72.43,68,0,0.0,MX,1647000814
241,Katsuura,35.1333,140.3,58.33,69,90,21.99,JP,1647000814
242,Acapulco de Juárez,16.8634,-99.8901,66.02,88,0,3.44,MX,1647000814
243,Aldan,58.6031,125.3894,-4.18,100,100,2.93,RU,1647000815
244,Omsukchan,62.5333,155.8,-2.07,99,24,3.4,RU,1647000815
245,Abilene,32.4487,-99.7331,29.08,63,100,18.41,US,1647000815
246,Valley City,46.9233,-98.0032,-5.28,71,100,27.63,US,1647000815
247,Shymkent,42.3,69.6,59.59,72,75,6.71,KZ,1647000816
248,Buchanan,5.8808,-10.0467,85.66,68,82,6.73,LR,1647000816
249,San Quintín,30.4833,-115.95,53.85,71,13,0.92,MX,1647000816
250,Grindavik,63.8424,-22.4338,45.07,81,75,29.93,IS,1647000816
251,Lučani,43.8608,20.1381,36.05,50,77,7.78,RS,1647000817
252,Kuching,1.55,110.3333,82.62,78,20,8.05,MY,1647000708
253,Trairi,-3.2778,-39.2689,75.4,96,100,6.8,BR,1647000817
254,Mezen',65.8522,44.24,32.32,92,100,9.04,RU,1647000818
255,Monroe,43.1501,-77.6831,31.96,91,100,0.0,US,1647000585
256,San Mateo del Mar,16.2,-95.0,79.0,76,1,11.07,MX,1647000818
257,Preobrazheniye,42.9019,133.9064,35.49,57,0,10.25,RU,1647000818
258,Mandalgovi,45.7625,106.2708,36.32,44,99,11.03,MN,1647000819
259,Trincomalee,8.5711,81.2335,81.41,74,82,12.08,LK,1647000556
260,Karakol,42.4907,78.3936,39.87,73,71,4.21,KG,1647000819
261,Ithaca,42.4406,-76.4966,32.34,91,20,3.44,US,1647000819
262,San Andrés,12.5847,-81.7006,78.82,78,20,6.91,CO,1647000631
263,Puerto Ayora,-0.7393,-90.3518,73.54,96,81,0.96,EC,1647000820
264,Morón,-34.6534,-58.6198,65.95,79,3,7.92,AR,1647000821
265,Pavlovsk,50.4578,40.1081,21.09,84,100,15.17,RU,1647000821
266,High Rock,26.6208,-78.2833,75.22,83,2,16.28,BS,1647000821
267,Stann Creek Town,16.9692,-88.2321,79.9,75,59,11.59,BZ,1647000821
268,Baiyin,36.5583,104.2081,53.74,24,100,20.13,CN,1647000652
269,Santa Cruz de la Sierra,-17.8,-63.1667,69.85,100,100,16.11,BO,1647000822
270,Jamestown,42.097,-79.2353,28.04,60,75,3.44,US,1647000822
271,Hermanus,-34.4187,19.2345,78.31,64,94,9.06,ZA,1647000823
272,Albany,42.6001,-73.9662,27.23,92,38,2.13,US,1647000823
273,Punta Arenas,-53.15,-70.9167,50.11,93,75,10.36,CL,1647000823
274,Mataura,-46.1927,168.8643,63.48,56,44,12.66,NZ,1647000823
275,Avarua,-21.2078,-159.775,75.25,94,97,3.44,CK,1647000824
276,Mar del Plata,-38.0023,-57.5575,62.62,87,40,10.0,AR,1647000824
277,Sechura,-5.5569,-80.8222,72.7,77,98,4.59,PE,1647000824
278,Hobart,-42.8794,147.3294,58.86,78,75,2.3,AU,1647000600
279,Puerto Ayora,-0.7393,-90.3518,73.54,96,81,0.96,EC,1647000820
280,Pandamatenga,-18.5278,25.627,82.35,47,49,6.98,BW,1647000825
281,Itacarambi,-15.1022,-44.0919,79.47,66,74,4.09,BR,1647000825
282,Cap Malheureux,-19.9842,57.6142,86.47,73,12,8.99,MU,1647000825
283,Rikitea,-23.1203,-134.9692,77.47,73,8,5.44,PF,1647000825
284,Busselton,-33.65,115.3333,73.02,54,38,0.6,AU,1647000826
285,New Norfolk,-42.7826,147.0587,58.5,63,72,1.88,AU,1647000739
286,Ushuaia,-54.8,-68.3,47.82,87,75,14.97,AR,1647000826
287,East London,-33.0153,27.9116,82.54,63,0,17.56,ZA,1647000827
288,Chui,-33.6971,-53.4616,66.31,50,20,11.21,UY,1647000827
289,Vaini,-21.2,-175.2,80.58,78,99,7.67,TO,1647000827
290,Atuona,-9.8,-139.0333,78.49,78,93,16.49,PF,1647000765
291,Lebu,-37.6167,-73.65,56.44,80,3,14.47,CL,1647000828
292,Luwuk,-0.9516,122.7875,80.38,87,82,1.77,ID,1647000828
293,Saint-Philippe,-21.3585,55.7679,85.59,82,36,12.12,RE,1647000828
294,Comodoro Rivadavia,-45.8667,-67.5,62.46,51,0,9.22,AR,1647000829
295,Río Gallegos,-51.6226,-69.2181,53.62,79,81,7.29,AR,1647000829
296,Bengkulu,-3.8004,102.2655,77.79,88,97,9.01,ID,1647000829
297,Saint-Joseph,-21.3667,55.6167,84.58,79,19,13.71,RE,1647000829
298,Alice Springs,-23.7,133.8833,71.15,30,0,6.91,AU,1647000575
299,Cape Town,-33.9258,18.4232,83.12,25,75,13.8,ZA,1647000830
300,Bluff,-46.6,168.3333,63.81,66,38,21.09,NZ,1647000830
301,Conde,-7.2597,-34.9075,83.66,70,75,12.66,BR,1647000830
302,Viedma,-40.8135,-62.9967,61.2,59,1,10.6,AR,1647000831
303,Tucuruí,-3.7661,-49.6725,76.19,89,99,2.86,BR,1647000831
304,Necochea,-38.5473,-58.7368,61.74,65,83,16.91,AR,1647000832
305,Castro,-24.7911,-50.0119,67.42,91,100,4.45,BR,1647000832
306,Katima Mulilo,-17.5,24.2667,85.37,44,38,6.78,NA,1647000608
307,Port Elizabeth,-33.918,25.5701,81.86,62,1,15.3,ZA,1647000833
308,Pemba,-12.974,40.5178,80.55,81,100,12.64,MZ,1647000833
309,Faanui,-16.4833,-151.75,81.32,71,27,12.46,PF,1647000833
310,Bredasdorp,-34.5322,20.0403,92.48,34,54,9.08,ZA,1647000833
311,Soe,-9.8607,124.284,67.91,94,97,3.38,ID,1647000833
312,Chapada dos Guimarães,-15.4606,-55.7497,73.06,86,62,2.84,BR,1647000834
313,Coquimbo,-29.9533,-71.3436,62.92,82,1,3.85,CL,1647000834
314,Lodja,-3.4833,23.4333,96.55,37,100,1.9,CD,1647000834
315,Cairns,-16.9167,145.7667,82.35,87,40,3.44,AU,1647000610
316,Kamina,-8.7386,24.9906,83.95,55,62,3.51,CD,1647000836
317,Imbituba,-28.24,-48.6703,80.82,88,94,2.95,BR,1647000837
318,Arraial do Cabo,-22.9661,-42.0278,84.06,61,0,20.71,BR,1647000837
319,Coyhaique,-45.5752,-72.0662,46.35,100,20,0.0,CL,1647000837
320,Sokoni,-6.4333,39.55,83.86,67,72,12.39,TZ,1647000837
321,Kununurra,-15.7667,128.7333,87.78,70,78,13.8,AU,1647000838
322,Carnarvon,-24.8667,113.6333,78.87,83,0,10.36,AU,1647000838
323,Esperance,-33.8667,121.9,70.57,62,57,18.79,AU,1647000838
324,Santiago,-33.4569,-70.6483,73.29,42,0,3.44,CL,1647000838
325,Saldanha,-33.0117,17.9442,79.52,52,100,0.69,ZA,1647000838
326,Vilhena,-12.7406,-60.1458,71.58,91,100,2.77,BR,1647000839
327,Inhambane,-23.865,35.3833,84.36,64,30,15.84,MZ,1647000839
328,Havelock,34.8791,-76.9013,48.18,95,67,1.01,US,1647000839
329,Mossamedes,-15.1961,12.1522,78.66,69,78,9.15,AO,1647000839
330,Pisco,-13.7,-76.2167,68.05,83,99,4.61,PE,1647000840
331,Mazabuka,-15.856,27.748,83.61,44,45,7.36,ZM,1647000840
332,George Town,5.4112,100.3354,85.95,79,20,2.3,MY,1647000840
333,Ahipara,-35.1667,173.1667,62.37,86,60,6.46,NZ,1647000841
334,Vao,-22.6667,167.4833,79.61,75,9,12.75,NC,1647000841
335,Menongue,-14.6585,17.691,77.99,66,44,4.14,AO,1647000841
336,Hualmay,-11.0964,-77.6139,70.97,85,89,5.82,PE,1647000841
337,Tuatapere,-46.1333,167.6833,59.72,73,81,9.95,NZ,1647000841
338,Acarí,-15.4311,-74.6158,73.99,78,70,1.54,PE,1647000842
339,Esim,4.8699,-2.2405,86.85,66,98,8.81,GH,1647000575
340,Chiredzi,-21.05,31.6667,91.22,28,51,10.07,ZW,1647000842
341,Port Alfred,-33.5906,26.891,83.08,63,2,18.37,ZA,1647000843
342,Wewak,-3.5534,143.6268,80.04,83,57,5.66,PG,1647000843
343,Plettenberg Bay,-34.0527,23.3716,83.14,58,32,8.77,ZA,1647000843
344,Burnie,-41.0667,145.9167,58.91,79,79,6.91,AU,1647000843
345,Cidreira,-30.1811,-50.2056,71.92,93,100,11.16,BR,1647000844
346,Coruripe,-10.1256,-36.1756,83.07,66,70,9.53,BR,1647000844
347,Bambous Virieux,-20.3428,57.7575,86.22,77,29,12.44,MU,1647000844
348,Portland,45.5234,-122.6762,38.95,83,75,1.99,US,1647000844
349,Likasi,-10.9814,26.7333,79.79,61,92,2.86,CD,1647000845
350,Tiarei,-17.5333,-149.3333,75.22,72,25,11.23,PF,1647000845
351,Ancud,-41.8697,-73.8203,56.23,89,5,4.83,CL,1647000845
352,Port Macquarie,-31.4333,152.9167,65.89,72,99,3.85,AU,1647000845
353,Ipixuna,-1.7625,-48.8043,75.85,91,100,2.57,BR,1647000846
354,Koster,-25.863,26.8976,79.88,37,25,6.2,ZA,1647000846
355,Nhulunbuy,-12.2333,136.7667,84.81,79,60,3.44,AU,1647000846
356,Mahébourg,-20.4081,57.7,86.25,77,30,12.12,MU,1647000846
